Тестирование бокового меню интернет-магазина https://www.joom.com/ru,,,,
Обьем тестирования,,"Боковое меню, категории товаров интернет-магазина",,
План тестирования,,"1. Проверка функционала сайта
2. Проверка соответствия стандартам
3. Проверка удобства использования (Юзабилити)",,
,,,,
,,,,
Цель тестирования,,"Оценить правильность работы сайта, оформления и удобства использования",,
Тестовое окружение,,"OC Windows 7 32bit, браузер Google Chrome  Версия 87.0.4280.141 (Официальная сборка), (32 бит)",,
Чек-лист №1 Функциональность,,,,
№,Приоритет,Проверка,Результат,Комментарий
1,Высокий,Все пункты меню кликабельны.,Passed,
2,Высокий,Скролинг работает без зависаний,Passed,
3,Высокий,"При выборе категории, страница ведет на выбранный категорией товар",Passed,
Чек-Лист №2 Стандарты,,,,
№,Приоритет,Проверка,Результат,Комментарий
1,Высокий,Пункты меню одинаково выровнены по центру,Passed,
2,Высокий,Пункты меню имет одинаковый шрифт и размер шрифта,Passed,
3,Высокий,Пункты главного меню изменяются при расширешии/уменьшении браузера,Failed,
Чек-Лист №3 Юзабилити,,,,
№,Приоритет,Проверка,Результат,Комментарий
1,Выскоий,"У каждого пункта меню, свой значок. Все значки, соответствуют товару",Passed,
2,Высокий,"При наведение курсора, пункт меню меняет цвет и шрифт ",Passed,
3,Средний,Знакчки пункта меню интуитивно понятны,Passed,
4,Средний,Есть выделение популярных категорий товаров,Passed,
